Plot,Position,Species,Moisture,RootDryMass(g),Root depth(cm),Length(cm),SurfArea(cm2),AvgDiam(mm),RootVolume(cm3),Tips,Forks,SRL(cm/g),SRA(cm2/g),RTD(g/cm3),SRTA (tips/g),Stem density (g/cm3),Stem dry mass (g),Leaf dry mass (g),Leaf area (cm2),Leaf thick 1 (mm),Leaf thick 2 (mm),Leaf thick 3 (mm),LMA (g/m2),LDMC (%),WDMC (%),RDMC (%)
45,10,GUAGUI,25.85,0.1094,6.41,36.6046,10.1518,0.8828,0.224,64,156,334.5941499,92.7952468,0.488392857,585.0091408,0.22244389,0.0892,0.0596,21.8837,0.111,0.135,0.134,27.23488258,0.212857143,0.298327759,0.221906694
45,11,SCHMOR,25.85,0.0147,2.62,5.5191,1.4363,0.8284,0.03,20,34,375.4489796,97.70748299,0.49,1360.544218,0.092746114,0.0179,0.0253,15.8234,0.127,0.109,0.124,15.98897835,0.162179487,0.186458333,0.245
45,12,GUAGUI,25.85,0.2217,17.7,59.545,16.4677,0.8803,0.362,112,279,268.5836716,74.27920613,0.612430939,505.1871899,0.211063218,0.1469,0.0536,18.487,0.163,0.164,0.187,28.99334668,0.203802281,0.344028103,0.249662162
45,13,TETBAL,25.85,0.6372,16.3,128.5537,26.5793,0.6581,0.437,229,534,201.7478029,41.71264909,1.45812357,359.3848085,0.424006623,0.5122,0.7087,108.6992,0.175,0.182,0.212,65.19827193,0.425390156,0.407478123,0.45974026
45,14,INGLAU,25.85,0.6981,29.4,148.8107,27.8203,0.5951,0.414,319,986,213.1653058,39.85145395,1.686231884,456.954591,0.27609382,0.6121,1.1688,202.3045,0.163,0.173,0.193,57.77429568,0.407389334,0.476342413,0.413566351
45,16,PREMON,25.85,0.119,10.48,57.6027,11.9289,0.6592,0.197,181,349,484.0563025,100.2428571,0.604060914,1521.008403,NA,NA,0.191,44.6617,0.2,0.129,0.144,42.76594935,0.200630252,NA,0.276102088
46,1,INGLAU,20.38409091,0.752,21.1,168.6196,33.3458,0.6295,0.525,371,1097,224.2281915,44.34281915,1.432380952,493.3510638,0.360890302,0.681,1.465,242.5835,0.204,0.172,0.203,60.39157651,0.344868173,0.436258809,0.429468875
46,2,TETBAL,20.38409091,0.1616,4.82,9.79,4.1262,1.3416,0.138,30,48,60.58168317,25.53341584,1.171014493,185.6435644,0.183760684,0.1505,0.456,77.6336,0.194,0.179,0.174,58.73745389,0.404255319,0.43,0.420833333
46,3,PREMON,20.38409091,0.0617,11.17,37.3028,7.8772,0.6722,0.132,140,287,604.5834684,127.6693679,0.467424242,2269.04376,NA,NA,0.156,35.6535,0.128,0.186,0.181,43.75447011,0.179310345,NA,0.184730539
46,4,TETBAL,20.38409091,0.1776,7.12,21.103,5.3809,0.8116,0.109,65,110,118.8231982,30.29786036,1.629357798,365.990991,0.213294798,0.2583,0.5479,84.8023,0.199,0.194,0.19,64.60909669,0.406454006,0.440784983,0.464921466
46,7,PREMON,20.38409091,0.0701,8.35,26.4579,6.7632,0.8137,0.138,112,210,377.4308131,96.47931526,0.507971014,1597.717546,NA,NA,0.1169,29.9884,0.147,0.15,0.159,38.98173961,0.220982987,NA,0.232119205
46,10,SCHMOR,20.38409091,0.0112,1.56,6.0262,1.1709,0.6185,0.018,29,43,538.0535714,104.5446429,0.622222222,2589.285714,0.216393443,0.0264,0.0296,18.0038,0.12,0.13,0.09,16.44097357,0.175147929,0.22,0.339393939
46,12,MANBID,20.38409091,0.0747,9.46,16.604,4.8796,0.9355,0.114,58,78,222.2757697,65.32262383,0.655263158,776.4390897,0.474619289,0.0935,0.1518,25.0425,0.258,0.241,0.2,60.61695118,0.296484375,0.325783972,0.355714286
46,13,MANBID,20.38409091,0.086,11.77,18.8439,4.7988,0.8106,0.097,64,108,219.1151163,55.8,0.886597938,744.1860465,0.45754717,0.097,0.118,18.0806,0.199,0.247,0.258,65.26332091,0.295739348,0.327702703,0.401869159
46,14,GUAGUI,20.38409091,0.1404,11.31,57.843,15.8698,0.8733,0.346,84,222,411.9871795,113.0327635,0.405780347,598.2905983,0.157876106,0.0892,0.1404,54.3334,0.144,0.136,0.138,25.84045909,0.210179641,0.305479452,0.227922078
46,16,INGLAU,20.38409091,0.32,21.6,123.5807,24.577,0.633,0.389,300,898,386.1896875,76.803125,0.822622108,937.5,0.265091864,0.202,0.464,78.9578,0.195,0.188,0.145,58.76556844,0.35446906,0.436285097,0.384615385
47,3,SCHMOR,27.08409091,0.105,7.93,38.8687,9.724,0.7963,0.194,108,215,370.1780952,92.60952381,0.541237113,1028.571429,0.172920065,0.212,0.32,132.7588,0.146,0.121,0.147,24.10386355,0.16563147,0.192377496,0.204678363
47,4,MANBID,27.08409091,0.128,14.68,31.5913,7.5553,0.7613,0.144,103,170,246.8070313,59.02578125,0.888888889,804.6875,0.225352113,0.096,0.233,37.6915,0.208,0.272,0.272,61.81765119,0.297573436,0.275862069,0.316831683
47,5,MANBID,27.08409091,0.2136,10.56,39.5369,9.5829,0.7715,0.185,82,177,185.0978464,44.86376404,1.154594595,383.8951311,0.281353591,0.2037,0.4968,68.4527,0.213,0.217,0.288,72.57566173,0.328354263,0.328548387,0.33271028
