"","Plot","Position","Treatment","Species","Start_LA","Moisture","Densiometer","Status","Days"
"197",13,5,"Drought","PREMON",10.17,16.781818,9.62,1,46
"198",13,6,"Drought","INGLAU",72.88,16.781818,9.62,0,228
"199",13,7,"Drought","GUAGUI",42.79,16.781818,9.62,0,228
"200",13,8,"Drought","SCHMOR",12.77,16.781818,9.62,1,136
"201",13,9,"Drought","CECSCH",9.85,16.781818,9.62,1,46
"202",13,10,"Drought","PREMON",7.08,16.781818,9.62,0,228
"203",13,11,"Drought","CECSCH",3.52,16.781818,9.62,1,24
"204",13,12,"Drought","MANBID",15.14,16.781818,9.62,0,228
"205",13,13,"Drought","UREBAC",3.83,16.781818,9.62,1,35
"206",13,14,"Drought","TETBAL",77.52,16.781818,9.62,1,17
"207",13,15,"Drought","UREBAC",NA,16.781818,9.62,1,46
"208",13,16,"Drought","INGLAU",85.38,16.781818,9.62,0,228
"209",14,1,"Control","MANBID",17.57,36.997727,15.6,0,228
"210",14,2,"Control","UREBAC",0.8,36.997727,15.6,1,14
"211",14,3,"Control","TETBAL",78.9,36.997727,15.6,0,228
"212",14,4,"Control","PREMON",9.26,36.997727,15.6,0,228
"213",14,5,"Control","GUAGUI",23.98,36.997727,15.6,0,228
"214",14,6,"Control","INGLAU",92.69,36.997727,15.6,0,228
"215",14,7,"Control","SCHMOR",6.31,36.997727,15.6,0,228
"216",14,8,"Control","INGLAU",77.88,36.997727,15.6,0,228
"217",14,9,"Control","CECSCH",3.66,36.997727,15.6,1,24
"218",14,10,"Control","PREMON",10.35,36.997727,15.6,0,228
"219",14,11,"Control","MANBID",21,36.997727,15.6,0,228
"220",14,12,"Control","TETBAL",69.55,36.997727,15.6,0,228
"221",14,13,"Control","UREBAC",3.51,36.997727,15.6,1,8
"222",14,14,"Control","CECSCH",3.66,36.997727,15.6,0,228
"223",14,15,"Control","GUAGUI",29.56,36.997727,15.6,0,228
"224",14,16,"Control","SCHMOR",11.8,36.997727,15.6,0,228
"225",15,1,"Control","UREBAC",4.15,30.784091,5.98,1,136
"226",15,2,"Control","INGLAU",82.69,30.784091,5.98,0,228
"227",15,3,"Control","MANBID",15.75,30.784091,5.98,0,228
"228",15,4,"Control","CECSCH",5.63,30.784091,5.98,1,8
"229",15,5,"Control","PREMON",7.72,30.784091,5.98,0,228
"230",15,6,"Control","SCHMOR",13.26,30.784091,5.98,0,228
"231",15,7,"Control","INGLAU",82.69,30.784091,5.98,0,228
"232",15,8,"Control","TETBAL",72.3,30.784091,5.98,0,228
"233",15,9,"Control","TETBAL",73.95,30.784091,5.98,0,228
"234",15,10,"Control","SCHMOR",3.23,30.784091,5.98,1,14
"235",15,11,"Control","GUAGUI",36.59,30.784091,5.98,0,228
"236",15,12,"Control","GUAGUI",25.84,30.784091,5.98,0,228
"237",15,13,"Control","UREBAC",5.91,30.784091,5.98,1,46
"238",15,14,"Control","CECSCH",5.49,30.784091,5.98,1,24
"239",15,15,"Control","PREMON",6.45,30.784091,5.98,0,228
"240",15,16,"Control","MANBID",15.14,30.784091,5.98,0,228
"241",16,1,"Drought","TETBAL",81.92,23.454545,8.84,0,228
"242",16,2,"Drought","UREBAC",3.19,23.454545,8.84,0,228
"243",16,3,"Drought","CECSCH",4.93,23.454545,8.84,1,8
"244",16,4,"Drought","INGLAU",86.92,23.454545,8.84,0,228
"245",16,5,"Drought","MANBID",16.35,23.454545,8.84,0,228
"246",16,6,"Drought","GUAGUI",45.89,23.454545,8.84,0,228
"247",16,7,"Drought","UREBAC",3.35,23.454545,8.84,1,94
"248",16,8,"Drought","PREMON",7.99,23.454545,8.84,0,228
"249",16,9,"Drought","SCHMOR",7.6,23.454545,8.84,0,228
"250",16,10,"Drought","INGLAU",71.92,23.454545,8.84,0,228
"251",16,11,"Drought","CECSCH",2.67,23.454545,8.84,1,24
