Plot,Position,Species,Moisture,d15N_RAW,%N,d13C_RAW,%C,d15N_NORMALIZED,d13C_ NORMALIZED,Ci_Lambers,iWUE_Lambers
24,5,MANBID,13,-1.006,1.55,11.573,50.12,-1.7,-29.5,299.1240089,68.04749442
24,6,GUAGUI,13,3.925,1.93,6.845,62.37,3.2,-34.1,381.9862599,16.25858755
24,8,PREMON,13,2.848,1.57,10.102,42.95,2.1,-30.9,324.9045443,51.93465982
24,11,INGLAU,13,1.133,2.49,8.542,43.72,0.4,-32.4,352.2448809,34.84694943
25,7,INGLAU,39.2,1.316,2.93,6.544,48.98,0.6,-34.4,387.2615428,12.96153574
25,8,PREMON,39.2,0.795,1.62,8.655,43.69,0.1,-32.3,350.2644591,36.08471307
25,11,SCHMOR,39.2,1.773,1.94,4.402,41.09,1,-36.4,424.8019281,-10.50120506
25,12,GUAGUI,39.2,2.511,3.11,4.198,50.75,1.8,-36.6,428.3772029,-12.7357518
25,13,TETBAL,39.2,0.222,1.49,8.133,37.52,-0.5,-32.8,359.4129563,30.36690228
25,15,MANBID,39.2,1.102,1.37,11.766,50.32,0.4,-29.3,295.7415186,70.1615509
26,1,INGLAU,13.9,1.292,3.08,7.185,45.02,0.5,-33.7,376.0274686,19.98283212
26,5,MANBID,13.9,3.76,1.58,11.358,51.05,3,-29.7,302.8920681,65.69245741
26,6,TETBAL,13.9,0.643,1.41,7.349,41.81,-0.1,-33.6,373.1532281,21.77923245
27,3,MANBID,39.1,0.873,1.12,8.885,55.1,0.1,-32.1,346.233512,38.60405498
27,9,PREMON,39.1,-0.413,1.47,6.993,41.46,-1.2,-33.9,379.3924331,17.87972931
27,12,GUAGUI,39.1,1.076,3.06,4.781,54.8,0.3,-36.1,418.1596284,-6.349767729
27,14,INGLAU,39.1,-0.543,2.5,6.919,43.37,-1.3,-34,380.6893465,17.06915843
27,15,TETBAL,39.1,-0.012,0.89,7.613,36.25,-0.8,-33.3,368.5264019,24.67099882
27,16,SCHMOR,39.1,-3.594,2.08,4.712,47.97,-4.3,-36.1,419.3689125,-7.105570304
28,11,GUAGUI,39.1,0.831,2.37,4.837,47.75,0.1,-36,417.1781804,-5.736362741
28,13,SCHMOR,35.5,-0.529,1.8,5.641,40.75,-1.3,-35.2,403.0961544,3.064903475
32,2,GUAGUI,37.4,2.258,2.96,3.866,48.73,1.5,-37,434.1957873,-16.37236709
32,4,TETBAL,37.4,-1.204,1.45,6.943,38.68,-1.9,-34,380.2687259,17.33204628
32,8,MANBID,37.4,0.042,1.34,9.918,49.98,-0.7,-31.1,328.1293019,49.91918628
32,12,PREMON,37.4,0.789,1.47,7.207,41.48,0,-33.7,375.6418998,20.22381266
32,16,INGLAU,37.4,-0.159,2.79,5.851,46.18,-0.9,-35,399.4069616,5.370649011
33,15,SCHMOR,33.15,-0.259,2.16,4.157,47,-1,-36.7,429.095763,-13.18485188
36,5,SCHMOR,35.6,-0.869,1.73,4.953,44.65,-1.6,-35.9,415.145181,-4.465738122
36,8,MANBID,35.6,-1.108,1.08,9.005,47.1,-1.8,-32,344.1304092,39.91849424
36,13,TETBAL,35.6,1.872,1.49,8.149,36.81,1.1,-32.8,359.1325426,30.54216085
36,14,PREMON,35.6,0.072,1.44,6.311,40.49,-0.7,-34.6,391.3450675,10.40933284
36,16,INGLAU,35.6,0.347,2.47,7.495,42.91,-0.4,-33.4,370.594453,23.37846688
39,10,MANBID,38.9,0.711,1.26,8.888,40.6,-0.2,-32.3,350.5248486,35.92196962
39,11,GUAGUI,38.9,2.528,3.14,3.689,51.17,1.6,-37.4,442.2664501,-21.41653133
39,13,PREMON,38.9,0.752,1.6,5.443,37.07,-0.1,-35.7,411.3153501,-2.07209381
39,15,INGLAU,38.9,0.719,2.86,5.999,41.67,-0.2,-35.1,401.504169,4.059894367
39,16,TETBAL,38.9,2.507,1.66,6.869,37.66,1.6,-34.3,386.1521411,13.65491184
41,6,INGLAU,37.9,0.061,2.37,6.943,41.36,-0.8,-34.2,384.8463364,14.47103976
41,8,PREMON,37.9,0.541,1.17,7.504,36.89,-0.3,-33.7,374.9469253,20.65817172
41,9,SCHMOR,37.9,-0.863,1.72,4.65,42.41,-1.7,-36.5,425.3086353,-10.81789709
